time,ip_source,ip_dest,protocol
21:39:32,192.168.1.147:62275,50.17.95.30:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:32,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,192.168.1.147:62464,81.192.15.173:443,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
21:39:33,81.192.15.173:443,192.168.1.147:62464,TCP
